1600000US3458650,"Pine Brook CDP, New Jersey",23.2,1.6
1600000US1655450,"Mud Lake city, Idaho",23.1,1.6
1600000US4858916,"Port Lavaca city, Texas",23.1,1.6
1600000US1702583,"Ashton village, Illinois",23,1.6
1600000US1723191,"Elizabethtown village, Illinois",23,1.6
1600000US1961725,"Park View CDP, Iowa",23,1.6
1600000US2726216,"Grygla city, Minnesota",23,1.6
1600000US3838100,"Hillsboro city, North Dakota",23,1.6
1600000US2184486,"Woodland Hills city, Kentucky",22.9,1.6
1600000US1769342,"Sherman village, Illinois",22.8,1.6
1600000US3111230,"Creighton city, Nebraska",22.8,1.6
1600000US3714280,"Connelly Springs town, North Carolina",22.8,1.6
1600000US0606935,"Blacklake CDP, California",22.6,1.6
1600000US3414350,"Cologne CDP, New Jersey",22.5,1.6
1600000US1968250,"Rockwell city, Iowa",22.4,1.6
1600000US4262744,"Prompton borough, Pennsylvania",22.3,1.6
1600000US3962890,"Pitsburg village, Ohio",22.2,1.6
1600000US4082150,"Woodward city, Oklahoma",22,1.6
1600000US4232024,"Halfway House CDP, Pennsylvania",22,1.6
1600000US1751700,"Nashville city, Illinois",21.9,1.6
1600000US3814660,"Cleveland city, North Dakota",21.9,1.6
1600000US3629058,"Glen Aubrey CDP, New York",21.8,1.6
1600000US2829620,"Gulf Hills CDP, Mississippi",21.3,1.6
1600000US5527000,"Fox Lake city, Wisconsin",19,1.6
1600000US3113435,"Dorchester village, Nebraska",18.5,1.6
1600000US3111440,"Crofton city, Nebraska",17.9,1.6
1600000US4782360,"Yorkville city, Tennessee",17.9,1.6
1600000US2827900,"Gluckstadt city, Mississippi",17.8,1.6
1600000US4606180,"Blunt city, South Dakota",17.6,1.6
1600000US2024925,"Fulton city, Kansas",17.5,1.6
1600000US4038700,"Katie town, Oklahoma",16.5,1.6
1600000US2965162,"St. Thomas town, Missouri",13.3,1.6
1600000US0659220,"Rail Road Flat CDP, California",13.2,1.6
1600000US4875032,"Van Horn town, Texas",13.2,1.6
1600000US0562240,"Salesville city, Arkansas",12.8,1.6
1600000US2251550,"Montegut CDP, Louisiana",44.5,1.7
1600000US7237336,"Jaguas comunidad, Puerto Rico",38.9,1.7
1600000US4815976,"College Station city, Texas",38.4,1.7
1600000US0572230,"Wabbaseka town, Arkansas",37.4,1.7
1600000US0612669,"Channel Islands Beach CDP, California",37,1.7
1600000US1303440,"Athens-Clarke County unified government (balance), Georgia",36.3,1.7
1600000US4131250,"Gresham city, Oregon",36,1.7
1600000US0908000,"Bridgeport city, Connecticut",35.9,1.7
1600000US1214400,"Coral Springs city, Florida",35.1,1.7
1600000US4819972,"Denton city, Texas",34.9,1.7
1600000US4202000,"Allentown city, Pennsylvania",34.7,1.7
1600000US2205000,"Baton Rouge city, Louisiana",34.6,1.7
1600000US2534550,"Lawrence city, Massachusetts",34.6,1.7
1600000US0632548,"Hawthorne city, California",34.4,1.7
1600000US1216525,"Daytona Beach city, Florida",34.2,1.7
1600000US0662896,"Rosemead city, California",34.1,1.7
1600000US4876000,"Waco city, Texas",34,1.7
1600000US1264175,"Sarasota city, Florida",33.9,1.7
1600000US0454050,"Peoria city, Arizona",33.6,1.7
1600000US0980000,"Waterbury city, Connecticut",33.6,1.7
1600000US0639496,"Lake Forest city, California",33.5,1.7
1600000US2529405,"Haverhill city, Massachusetts",33.5,1.7
1600000US1239425,"Largo city, Florida",33.3,1.7
1600000US0606000,"Berkeley city, California",32.9,1.7
1600000US2960428,"Qulin city, Missouri",32.8,1.7
1600000US0662938,"Roseville city, California",32.7,1.7
1600000US4147000,"Medford city, Oregon",32.7,1.7
1600000US0684200,"West Covina city, California",32.6,1.7
1600000US1272325,"Treasure Island city, Florida",32.6,1.7
1600000US4872368,"Texarkana city, Texas",32.5,1.7
