"density_rank_20_start","total_HU_14to24","total_pop14","new_housing_per_res","avg_density14","STATE_NAME"
"11",33502,1067423,31,2387.43266993741,"California"
"12",47091,1390251,34,2891.18890312434,"California"
"13",31627,1439264,22,3457.73621601035,"California"
"14",42693,1592973,27,4065.23823463077,"California"
"15",45363,2140932,21,4820.27121315792,"California"
"16",46488,2853692,16,5753.72335385768,"California"
"17",66709,3911849,17,6998.57134827747,"California"
"18",87908,5823385,15,9126.51451985838,"California"
"19",106267,6146986,17,14142.2921130535,"California"
"20",65522,3192519,21,31859.0452012986,"California"
