COUNTY_NAME,STATE_NAME,CITY,total_growth,total_pop14,new_housing_per_res,City - High Density,City - Mid-Density,Suburb - High Density,Suburb - Mid-Density,Exurb - Low Density,Rural/Undeveloped
Jefferson County,Alabama,NA,12765,658080,19,0,0,-3.4,16.2,63.5,23.6
Ventura County,California,NA,14795,777653,19,1.7,3.2,14.5,37.4,27.9,15.3
Hamilton County,Ohio,NA,14685,797471,18,0.6,2.2,27.4,35.5,22.1,12.2
Milwaukee County,Wisconsin,NA,17345,949711,18,8.6,7.2,13.2,37.6,32.9,0.4
Ocean County,New Jersey,NA,9295,524003,18,-0.2,0.2,0.4,20.9,40.5,38.1
Providence County,Rhode Island,NA,11012,613446,18,4.1,26.8,19.5,19.1,24.7,5.8
Shelby County,Tennessee,NA,16464,929538,18,0.1,0,0.1,52.5,41.1,6.2
Suffolk County,New York,NA,24288,1371144,18,0,0.9,3.8,39.4,42.2,13.8
Onondaga County,New York,NA,7777,457407,17,0,0.2,-4,25.1,45.7,33
Bucks County,Pennsylvania,NA,9724,626206,16,0,0,1.7,30.3,60,7.9
Summit County,Ohio,NA,8723,541468,16,0,-1.6,-7.2,8.7,93.6,6.5
DuPage County,Illinois,NA,13924,922437,15,0,0.2,11.1,57.6,31.2,0
Lake County,Illinois,NA,10362,690382,15,0,0.1,0.7,26.4,72.3,0.4
Monmouth County,New Jersey,NA,7613,629746,12,0.4,3.2,-4.8,28.3,75.6,-2.7
Montgomery County,Ohio,Houston suburb,6422,523811,12,0,0,-6.6,39,59.8,7.8
Stanislaus County,California,NA,6397,513917,12,0,2.9,25.2,32.5,35.8,3.6
Delaware County,Pennsylvania,NA,6194,556796,11,1.8,2.1,9.6,10.1,74.1,2.3
Passaic County,New Jersey,NA,5487,503441,11,53.5,16.2,11.9,14.2,3.8,0.5
St. Louis County,Missouri,NA,11167,993514,11,0,-0.1,5.2,56.7,29.5,8.7
Cuyahoga County,Ohio,NA,12486,1265229,10,0.1,-2.1,-21.3,81.9,36.2,5.2
Richmond County,New York,NA,4501,468910,10,29.9,43.4,13.1,7.5,5.8,0.4
Lucas County,Ohio,NA,3839,435118,9,0,-2.3,-18.7,2.9,107.9,10.3
Jefferson Parish,Louisiana,NA,3418,434213,8,0.1,2,10,39.2,37.3,11.3
Westchester County,New York,NA,7300,951478,8,11.9,47.4,-6.6,5.7,37.6,4
Hampden County,Massachusetts,NA,3083,461600,7,0,-1.2,-0.5,49.7,39,13
Nassau County,New York,NA,9517,1300889,7,-0.8,33.1,21.5,31.9,14.3,0
Camden County,New Jersey,NA,2761,512628,5,-4.2,-49.2,-17.8,95,79.5,-3.3
Genesee County,Michigan,NA,-702,418653,-2,0,0,18.2,527.6,-378.3,-67.5
Wayne County,Michigan,NA,-2968,1782299,-2,4,1.8,114.5,189.6,-197.7,-12.1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Kings County,New York,Brooklyn,96934,2391271,41,,,,,,
New York County,New York,NA,64417,1602741,40,,,,,,
Bronx County,New York,NA,44313,1359083,33,,,,,,
Queens County,New York,NA,47515,1868102,25,,,,,,
Richmond County,New York,NA,4501,468910,10,,,,,,
,,,,,,,,,,,
,,,257680,7690107,33.5079863,,,,,,
